link,name,price
https//www.glossier.com/products/glitter-gelee,Glitter Gelée,14.0
https//www.glossier.com/products/priming-moisturizer,Priming Moisturizer,22.0
https//www.glossier.com/products/glossier-sweatshirt,Glossier Sweatshirt,40.0
https//www.glossier.com/products/super-bounce,Super Bounce,28.0
https//www.glossier.com/products/gift-card,Digital Gift Card,0.0
https//www.glossier.com/products/priming-moisturizer-rich,Priming Moisturizer Rich,35.0
https//www.glossier.com/products/super-pure,Super Pure,28.0
https//www.glossier.com/products/boy-brow,Boy Brow,16.0
https//www.glossier.com/products/moisturizing-moon-mask,Moisturizing Moon Mask,22.0
https//www.glossier.com/products/haloscope,Haloscope,22.0
https//www.glossier.com/products/mask-duo,Mask Duo,40.0
https//www.glossier.com/products/mega-greens-galaxy-pack,Mega Greens Galaxy Pack,22.0
https//www.glossier.com/products/the-skincare-set,The Skincare Set,40.0
https//www.glossier.com/products/wowder-duo,Wowder Duo,35.0
https//www.glossier.com/products/cloud-paint-duo,Cloud Paint Duo,30.0
https//www.glossier.com/products/body-hero-daily-perfecting-cream,Body Hero Daily Perfecting Cream,22.0
https//www.glossier.com/products/body-hero-daily-oil-wash,Body Hero Daily Oil Wash,18.0
https//www.glossier.com/products/balm-dotcom-trio,Balm Dotcom Trio,30.0
https//www.glossier.com/products/glossier-you,Glossier You,60.0
https//www.glossier.com/products/lidstar,Lidstar,18.0
https//www.glossier.com/products/body-hero-duo,Body Hero Duo,35.0
https//www.glossier.com/products/cotton-rounds,Cotton Rounds,4.0
https//www.glossier.com/products/glossier-you-solid,Glossier You Perfume Solid,22.0
https//www.glossier.com/products/invisible-shield,Invisible Shield,25.0
https//www.glossier.com/products/soothing-face-mist,Soothing Face Mist,15.0
https//www.glossier.com/products/cloud-paint,Cloud Paint,18.0
https//www.glossier.com/products/zit-stick,Zit Stick,14.0
https//www.glossier.com/products/generation-g,Generation G,18.0
https//www.glossier.com/products/lash-slick,Lash Slick,16.0
https//www.glossier.com/products/the-makeup-set,The Makeup Set,40.0
https//www.glossier.com/products/milky-jelly-cleanser,Milky Jelly Cleanser,18.0
https//www.glossier.com/products/lidstar-duo,Lidstar Duo,30.0
https//www.glossier.com/products/milky-oil,Milky Oil,12.0
https//www.glossier.com/products/stretch-concealer,Stretch Concealer ,18.0
https//www.glossier.com/products/perfecting-skin-tint,Perfecting Skin Tint ,26.0
https//www.glossier.com/products/perfecting-skin-tint-stretch-concealer-duo,Perfecting Skin Tint + Stretch Concealer Duo,36.0
https//www.glossier.com/products/wowder,Wowder ,22.0
https//www.glossier.com/products/solution,Solution,24.0
https//www.glossier.com/products/colorslide,Colorslide,15.0
https//www.glossier.com/products/super-glow,Super Glow,28.0
https//www.glossier.com/products/lip-gloss,Lip Gloss,14.0
https//www.glossier.com/products/the-super-pack,The Super Pack,65.0
https//www.glossier.com/products/wowder-brush,Wowder Brush,20.0
https//www.glossier.com/products/balm-dotcom,Balm Dotcom,12.0
https//www.glossier.com/products/niteshine,Niteshine,20.0
https//www.glossier.com/products/vinylic-lip,Vinylic Lip,16.0
https//www.glossier.com/products/blade,Blade,4.0
https//www.glossier.com/products/the-detailer,The Detailer,6.0
https//www.glossier.com/products/the-playground,The Playground,60.0
https//www.glossier.com/products/glitter-gelee-detailer-duo,Glitter Gelée + Detailer Duo,16.0
https//www.glossier.com/products/bubblewrap,Bubblewrap,26.0
https//www.glossier.com/products/boy-brow-generation-g-duo,Boy Brow + Generation G Duo,30.0
